380;7.24643E-05;7.18478E-05;7.1533E-05;7.02832E-05;7.21738E-05
381;6.86161E-05;6.81281E-05;6.74129E-05;6.77872E-05;6.84597E-05
382;6.33746E-05;6.31027E-05;6.17523E-05;6.21714E-05;6.37211E-05
383;5.7945E-05;5.64205E-05;5.55217E-05;5.63376E-05;5.66421E-05
384;5.27268E-05;5.23375E-05;5.19054E-05;5.19473E-05;5.25657E-05
385;5.43911E-05;5.44144E-05;5.4758E-05;5.43352E-05;5.52284E-05
386;6.36987E-05;6.24061E-05;6.23278E-05;6.22515E-05;6.29928E-05
387;6.72042E-05;6.69211E-05;6.54981E-05;6.51795E-05;6.62245E-05
388;6.51032E-05;6.50138E-05;6.30021E-05;6.27022E-05;6.49225E-05
389;6.40675E-05;6.28438E-05;6.20671E-05;6.22366E-05;6.30189E-05
390;6.54552E-05;6.47474E-05;6.30282E-05;6.39893E-05;6.41383E-05
391;6.54869E-05;6.44159E-05;6.37677E-05;6.43004E-05;6.4211E-05
392;6.42091E-05;6.35292E-05;6.22887E-05;6.29518E-05;6.35721E-05
393;6.39725E-05;6.33784E-05;6.25141E-05;6.23465E-05;6.3125E-05
394;6.69435E-05;6.62562E-05;6.59283E-05;6.57439E-05;6.61761E-05
395;8.05277E-05;7.92257E-05;7.92071E-05;7.88383E-05;7.96001E-05
396;9.04277E-05;8.90158E-05;8.92133E-05;8.87606E-05;8.95541E-05
397;9.45926E-05;9.32962E-05;9.3326E-05;9.28789E-05;9.30745E-05
398;8.39904E-05;8.37073E-05;8.32863E-05;8.27387E-05;8.38712E-05
399;7.19521E-05;7.08885E-05;7.05998E-05;6.99405E-05;7.02348E-05
400;6.11674E-05;6.0684E-05;5.99921E-05;6.01672E-05;6.00675E-05
401;5.48884E-05;5.33173E-05;5.36032E-05;5.33108E-05;5.38509E-05
402;5.41927E-05;5.27138E-05;5.28172E-05;5.2399E-05;5.24586E-05
403;5.42374E-05;5.33545E-05;5.29373E-05;5.29038E-05;5.30379E-05
404;5.53383E-05;5.4922E-05;5.44302E-05;5.44246E-05;5.4542E-05
405;5.781E-05;5.64018E-05;5.63897E-05;5.65713E-05;5.59334E-05
406;6.0874E-05;5.96503E-05;5.983E-05;5.91353E-05;5.97099E-05
407;6.62412E-05;6.54683E-05;6.52596E-05;6.51702E-05;6.50547E-05
408;7.15237E-05;7.00802E-05;6.98417E-05;6.96741E-05;7.05719E-05
409;7.21104E-05;7.11996E-05;7.09556E-05;7.08606E-05;7.12033E-05
410;7.26581E-05;7.12741E-05;7.09202E-05;7.12033E-05;7.15088E-05
411;7.31703E-05;7.255E-05;7.1831E-05;7.23954E-05;7.24457E-05
412;7.26003E-05;7.16243E-05;7.15274E-05;7.13393E-05;7.18478E-05
413;6.96499E-05;6.86664E-05;6.8536E-05;6.8821E-05;6.90687E-05
414;6.57532E-05;6.48964E-05;6.46058E-05;6.49244E-05;6.50287E-05
415;6.4373E-05;6.33933E-05;6.27674E-05;6.28233E-05;6.31753E-05
416;6.42873E-05;6.3464E-05;6.27916E-05;6.3017E-05;6.34361E-05
417;6.75246E-05;6.70031E-05;6.66007E-05;6.67926E-05;6.69528E-05
418;7.76425E-05;7.62586E-05;7.63088E-05;7.61282E-05;7.65324E-05
419;8.97367E-05;8.92039E-05;8.85949E-05;8.85893E-05;8.91741E-05
420;9.47695E-05;9.40319E-05;9.37264E-05;9.32124E-05;9.41325E-05
421;9.04854E-05;8.96808E-05;8.96268E-05;8.92244E-05;8.96789E-05
422;8.04346E-05;7.92332E-05;7.91084E-05;7.92071E-05;7.9412E-05
423;7.16653E-05;7.10096E-05;7.04136E-05;7.04452E-05;7.08885E-05
424;6.69993E-05;6.5947E-05;6.58855E-05;6.57178E-05;6.58315E-05
425;6.4265E-05;6.38049E-05;6.36093E-05;6.32871E-05;6.34678E-05
426;6.39837E-05;6.3289E-05;6.2881E-05;6.26016E-05;6.34491E-05
427;6.51907E-05;6.44047E-05;6.38757E-05;6.38328E-05;6.4373E-05
428;6.69546E-05;6.61295E-05;6.55018E-05;6.54124E-05;6.61667E-05
429;6.75078E-05;6.66492E-05;6.61183E-05;6.60438E-05;6.67982E-05
430;6.58464E-05;6.51535E-05;6.47139E-05;6.47772E-05;6.48536E-05
431;6.47046E-05;6.36168E-05;6.35888E-05;6.31511E-05;6.34771E-05
432;6.38403E-05;6.30021E-05;6.27935E-05;6.26631E-05;6.27562E-05
433;6.33318E-05;6.29425E-05;6.21378E-05;6.20726E-05;6.24694E-05
434;6.29798E-05;6.25961E-05;6.19497E-05;6.19367E-05;6.22272E-05
435;6.36782E-05;6.30263E-05;6.25942E-05;6.26929E-05;6.28717E-05
436;6.56322E-05;6.50343E-05;6.44773E-05;6.46338E-05;6.45816E-05
437;7.18571E-05;7.10804E-05;7.0855E-05;7.07284E-05;7.1127E-05
438;7.84602E-05;7.80448E-05;7.76518E-05;7.75419E-05;7.78232E-05
439;7.97994E-05;7.89948E-05;7.87303E-05;7.89184E-05;7.89464E-05
440;7.73165E-05;7.66441E-05;7.60667E-05;7.61803E-05;7.63163E-05
441;7.17603E-05;7.10674E-05;7.06725E-05;7.06278E-05;7.07116E-05
442;6.72489E-05;6.67833E-05;6.6122E-05;6.62394E-05;6.63456E-05
443;6.6122E-05;6.54105E-05;6.50119E-05;6.48797E-05;6.51423E-05
444;6.61705E-05;6.54906E-05;6.51665E-05;6.48927E-05;6.51348E-05
445;6.89104E-05;6.82585E-05;6.78003E-05;6.81225E-05;6.78413E-05
