380;0.000589;2.24E-09;2.63E-09;2.41E-07;2.79E-07;1.80E-09;0;0;0;0.003465301;0.004216069;0.001524375;0.001335365;0;0;2.46E-09;2.45E-09;2.47E-09;3.72E-09;-1.15996E-11;1.46498E-13;6.63821E-13
385;0.001108;2.33E-09;2.74E-09;2.67E-07;2.62E-07;2.14E-09;0.006067533;0.00524839;0.00579466;0.003656537;0.004041516;0.001556297;0.001469617;0.004375055;0.005626782;2.41E-09;2.50E-09;2.42E-09;4.25E-09;-9.50684E-12;3.20971E-13;5.37644E-13
390;0.002209;2.90E-09;3.22E-09;2.99E-07;2.90E-07;3.31E-09;0.005770947;0.005603304;0.005623612;0.005003146;0.003918213;0.001629706;0.001862905;0.004792777;0.004552376;2.63E-09;2.64E-09;2.68E-09;3.95E-09;-8.13159E-12;3.18354E-13;9.27803E-13
395;0.00453;4.27E-09;4.70E-09;4.52E-07;3.77E-07;5.42E-09;0.006078968;0.005862867;0.005988129;0.006229433;0.004955354;0.002054599;0.002281956;0.004952633;0.005045303;3.43E-09;3.39E-09;3.36E-09;5.60E-09;-3.77555E-12;5.46614E-13;2.88781E-12
400;0.00929;7.29E-09;8.10E-09;7.78E-07;6.54E-07;9.60E-09;0.006067797;0.006984675;0.006568517;0.010739174;0.006588628;0.003277534;0.003896047;0.006556024;0.005452041;4.99E-09;5.08E-09;5.23E-09;7.82E-09;5.13036E-12;2.56672E-12;1.16129E-11
405;0.01852;1.44E-08;1.62E-08;1.50E-06;1.35E-06;1.87E-08;0.010670016;0.011941187;0.012005067;0.01770603;0.012178461;0.006500614;0.007752033;0.011184825;0.008732686;9.30E-09;9.60E-09;9.76E-09;1.37E-08;2.82821E-11;1.91063E-11;4.28901E-11
410;0.03484;2.86E-08;3.25E-08;3.00E-06;2.95E-06;3.65E-08;0.023294668;0.02534029;0.02421964;0.03236201;0.02593745;0.012806316;0.015450941;0.023256624;0.018702749;1.95E-08;2.03E-08;2.07E-08;2.62E-08;8.57011E-11;6.57259E-11;1.13937E-10
415;0.0604;5.40E-08;6.11E-08;5.70E-06;6.10E-06;6.74E-08;0.050350378;0.05365074;0.053613094;0.067822442;0.055728254;0.024632423;0.029061649;0.051279533;0.042522314;4.09E-08;4.29E-08;4.36E-08;5.36E-08;1.99138E-10;1.6176E-10;2.45958E-10
420;0.0966;9.10E-08;1.02E-07;9.49E-06;1.07E-05;1.10E-07;0.094458741;0.100407502;0.1008071;0.122098963;0.106298021;0.046605211;0.053968208;0.096127558;0.0824652;7.70E-08;8.10E-08;8.20E-08;9.64E-08;3.80575E-10;3.25334E-10;4.48616E-10
425;0.1436;1.33E-07;1.50E-07;1.40E-05;1.63E-05;1.58E-07;0.154349138;0.163543224;0.164027837;0.197694686;0.171382858;0.076185607;0.086367621;0.154662952;0.137197586;1.22E-07;1.29E-07;1.30E-07;1.51E-07;5.99163E-10;5.30477E-10;6.89398E-10
430;0.1998;1.77E-07;2.00E-07;1.86E-05;2.20E-05;2.07E-07;0.22249158;0.233034978;0.235695764;0.269195375;0.239666668;0.101848421;0.113603432;0.224221481;0.203131448;1.68E-07;1.78E-07;1.78E-07;2.03E-07;8.40106E-10;7.63912E-10;9.43296E-10
435;0.2625;2.17E-07;2.45E-07;2.28E-05;2.69E-05;2.50E-07;0.290961137;0.304506651;0.307177278;0.329904999;0.29829727;0.126211741;0.138441087;0.290721513;0.270215442;2.13E-07;2.23E-07;2.24E-07;2.50E-07;1.0718E-09;9.96446E-10;1.18723E-09
440;0.3281;2.53E-07;2.86E-07;2.65E-05;3.10E-05;2.85E-07;0.350041061;0.363756013;0.367864392;0.377080356;0.350666758;0.149058887;0.160902592;0.356618131;0.336528283;2.48E-07;2.59E-07;2.58E-07;2.90E-07;1.29734E-09;1.22507E-09;1.4192E-09
445;0.3931;2.89E-07;3.28E-07;3.03E-05;3.49E-05;3.23E-07;0.40324022;0.41760537;0.421938078;0.419947449;0.395289736;0.170054094;0.1815257;0.41230504;0.396468747;2.81E-07;2.94E-07;2.93E-07;3.24E-07;1.5257E-09;1.46217E-09;1.65055E-09
450;0.455;3.25E-07;3.69E-07;3.42E-05;3.86E-05;3.59E-07;0.456588421;0.471253372;0.475400334;0.466666486;0.4437527;0.192022365;0.202721628;0.46171881;0.446718484;3.17E-07;3.33E-07;3.32E-07;3.64E-07;1.74614E-09;1.68629E-09;1.86671E-09
455;0.513;3.65E-07;4.14E-07;3.83E-05;4.26E-05;3.98E-07;0.516364604;0.52924852;0.534913673;0.522649121;0.501852194;0.222707602;0.233249642;0.528776314;0.515036128;3.58E-07;3.75E-07;3.74E-07;4.09E-07;2.00923E-09;1.95111E-09;2.13164E-09
460;0.567;4.15E-07;4.73E-07;4.35E-05;4.77E-05;4.47E-07;0.579308292;0.593094816;0.596897172;0.581250987;0.566160008;0.256556287;0.265817581;0.600726262;0.590357067;4.05E-07;4.19E-07;4.19E-07;4.60E-07;2.26901E-09;2.21484E-09;2.38088E-09
465;0.62;4.61E-07;5.25E-07;4.84E-05;5.26E-05;4.96E-07;0.639194262;0.651959704;0.654696045;0.64120728;0.623464799;0.284353911;0.292621145;0.668923853;0.66042772;4.57E-07;4.72E-07;4.71E-07;5.03E-07;2.58449E-09;2.52818E-09;2.68922E-09
470;0.676;5.03E-07;5.72E-07;5.28E-05;5.68E-05;5.36E-07;0.701278224;0.709343137;0.713938647;0.705734199;0.68836494;0.312047889;0.317919596;0.732423046;0.723869747;5.01E-07;5.17E-07;5.15E-07;5.61E-07;2.86688E-09;2.8151E-09;2.96658E-09
